tufts_country,country_replacement
Antigua and Barbuda,Antigua & Barbuda
Bosnia and Herzegovina,Bosnia & Herzegovina
Brunei Darussalam,Brunei
Cabo Verde,Cape Verde
"Canada, Canada",Canada
Congo,Congo - Kinshasa
Congo Democratic Republic,Congo - Kinshasa
Côte d'Ivoire,Côte d’Ivoire
Czech Republic,Czechia
England,United Kingdom
"England, Wales",United Kingdom
Federated States of Micronesia,Micronesia (Federated States of)
French Republic,France
Hong Kong,Hong Kong SAR China
Lao,Laos
Myanmar,Myanmar (Burma)
Sao Tome and Principe,São Tomé & Príncipe
Scotland,United Kingdom
Saint Kitts and Nevis,St. Kitts & Nevis
Saint Lucia,St. Lucia
Saint Vincent and the Grenadines,St. Vincent & Grenadines
Swaziland,Eswatini
Trinidad and Tobago,Trinidad & Tobago
"United Kingdom, United Kingdom",United Kingdom
United States of America,United States
"United States of America, United States of America",United States
"United States of America, United States of America, United States of America",United States
Viet Nam,Vietnam
Wales,United Kingdom
"Wales, England",United Kingdom
